Glyma2.0	Glyma1.1	chromosome_number	start_mb	stop_mb
Glyma.05g224800	Glyma05g36060	5	40362481	40363717
Glyma.05g224900	Glyma05g36050	5	40366096	40370669
Glyma.05g225000	Glyma05g36040	5	40376407	40381768
Glyma.05g225100	Glyma05g36031	5	40387813	40393404
Glyma.05g225200	Glyma05g36020	5	40398178	40400609
Glyma.05g225300	Glyma05g36010	5	40408912	40410821
Glyma.05g225400	Glyma05g36000	5	40412601	40415905
Glyma.05g225500	Glyma05g35990	5	40422630	40426560
Glyma.05g225600	Glyma05g35980	5	40427955	40429788
Glyma.05g225700	Glyma05g35970	5	40432149	40439631
Glyma.05g225800	Glyma05g35955	5	40441668	40445293
Glyma.05g225900	Glyma05g35940	5	40451889	40453150
Glyma.05g226000	Glyma05g35930	5	40458098	40461736
Glyma.05g2261002	NA	5	40466087	40466142
Glyma.05g2261001	NA	5	40466364	40467810
Glyma.05g226200	Glyma05g35910	5	40468213	40468368
Glyma.05g226300	NA	5	40475608	40476357
Glyma.05g226400	Glyma05g35900	5	40480968	40482410
Glyma.05g226500	NA	5	40494289	40495217
Glyma.05g226600	Glyma05g35890	5	40495689	40500542
Glyma.05g226700	Glyma05g35880	5	40501715	40503600
Glyma.05g226800	Glyma05g35860	5	40508823	40515159
Glyma.05g226900	Glyma05g35850	5	40516095	40518663
Glyma.05g227000	Glyma05g35840	5	40520021	40525306
Glyma.05g227100	Glyma05g35830	5	40527741	40537026
Glyma.05g227200	Glyma05g35820	5	40541538	40542404
Glyma.05g227300	Glyma05g35811	5	40555105	40555638
Glyma.05g227400	Glyma05g35800	5	40556860	40562544
Glyma.05g227500	Glyma05g35790	5	40568314	40568490
Glyma.05g227600	Glyma05g35781	5	40573424	40576002
Glyma.05g227700	Glyma05g35770	5	40576953	40580126
Glyma.05g2278002	NA	5	40581438	40582896
Glyma.05g2278001	NA	5	40583889	40586624
Glyma.05g227900	Glyma05g35755	5	40587278	40587625
Glyma.05g228000	Glyma05g35750	5	40590847	40591982
Glyma.05g228100	Glyma05g35741	5	40619186	40622102
Glyma.05g228200	Glyma05g35730	5	40631232	40635021
Glyma.05g228300	Glyma05g35721	5	40635441	40637697
Glyma.05g228400	Glyma05g35710	5	40638693	40643358
Glyma.05g228500	Glyma05g35700	5	40646576	40651812
Glyma.05g228600	Glyma05g35691	5	40654170	40654778
Glyma.05g228700	Glyma05g35680	5	40658365	40665783
Glyma.05g228800	Glyma05g35670	5	40667760	40669731
Glyma.05g228900	NA	5	40670524	40670941
Glyma.05g229000	NA	5	40672695	40673439
Glyma.05g229100	Glyma05g35650	5	40676349	40678423
Glyma.05g229200	NA	5	40686623	40687505
Glyma.05g229300	Glyma05g35640	5	40691687	40694739
Glyma.05g229400	Glyma05g35620	5	40711583	40717228
Glyma.05g229500	Glyma05g35610	5	40733033	40737045
Glyma.05g229600	Glyma05g35600	5	40746943	40754720
Glyma.05g229700	Glyma05g35590	5	40773431	40776814
Glyma.05g229800	Glyma05g35570	5	40786155	40788890
Glyma.05g229900	Glyma05g35561	5	40792469	40798927
Glyma.05g230000	Glyma05g35550	5	40800332	40802590
Glyma.05g230100	Glyma05g35530	5	40807297	40810541
Glyma.05g230200	Glyma05g35520	5	40815058	40819434
Glyma.05g230300	Glyma05g35511	5	40821742	40827594
Glyma.05g230400	Glyma05g35501	5	40828680	40829883
Glyma.05g230500	Glyma05g35490	5	40836928	40837086
Glyma.05g230600	Glyma05g35480	5	40841919	40845359
Glyma.05g230700	Glyma05g35470	5	40846362	40851592
Glyma.05g230800	NA	5	40852792	40853980
Glyma.05g230900	Glyma05g35450	5	40864783	40866071
Glyma.05g231000	Glyma05g35440	5	40872964	40874120
Glyma.05g231100	Glyma05g35430	5	40885414	40888810
Glyma.05g231200	Glyma05g35420	5	40895038	40899985
Glyma.05g231300	Glyma05g35410	5	40900444	40901871
Glyma.05g231400	Glyma05g35400	5	40903528	40906444
Glyma.05g231500	Glyma05g35390	5	40907828	40908458
Glyma.05g231600	Glyma05g35375	5	40912334	40913095
Glyma.05g231700	Glyma05g35360	5	40915803	40920241
Glyma.05g231800	Glyma05g35350	5	40924505	40929251
Glyma.05g231900	Glyma05g35340	5	40934314	40940453
Glyma.05g232000	Glyma05g35330	5	40944853	40946994
Glyma.05g232100	Glyma05g35320	5	40956590	40962991
Glyma.05g232200	Glyma05g35310	5	40963767	40971221
Glyma.05g232300	Glyma05g35295	5	40978699	40981751
Glyma.05g232400	Glyma05g35280	5	40992124	41003814
Glyma.05g232500	Glyma05g35270	5	41004766	41005830
Glyma.05g232600	Glyma05g35260	5	41009642	41015826
Glyma.05g232700	Glyma05g35250	5	41017569	41021647
Glyma.05g232800	Glyma05g35240	5	41022747	41030067
Glyma.05g232900	NA	5	41033757	41035115
Glyma.05g233000	Glyma05g35220	5	41036663	41039740
Glyma.05g233100	NA	5	41041130	41048359
Glyma.05g233200	Glyma05g35200	5	41047522	41050483
Glyma.05g233300	Glyma05g35190	5	41054304	41057812
Glyma.05g2334002	NA	5	41058365	41059946
Glyma.05g2334001	NA	5	41060817	41063472
Glyma.05g233500	NA	5	41066769	41067350
Glyma.05g233600	NA	5	41080396	41080641
Glyma.05g233700	Glyma05g35151	5	41087671	41089500
Glyma.05g233800	NA	5	41096930	41097932
Glyma.05g233900	Glyma05g35130	5	41099637	41108694
Glyma.05g234000	Glyma05g35120	5	41110128	41111322
Glyma.05g234100	Glyma05g35105	5	41123596	41127315
Glyma.05g234200	Glyma05g35090	5	41133563	41137142
Glyma.05g234300	Glyma05g35080	5	41141355	41144842
Glyma.05g234400	Glyma05g35070	5	41146115	41147356
Glyma.05g234500	Glyma05g35060	5	41154749	41156676
Glyma.05g234600	Glyma05g35050	5	41164261	41166233
Glyma.05g234700	Glyma05g35040	5	41167084	41170721
Glyma.05g234800	Glyma05g35030	5	41172014	41173823
Glyma.05g234900	Glyma05g35021	5	41175326	41181954
Glyma.05g235000	Glyma05g35000	5	41182783	41188548
Glyma.05g235100	Glyma05g35011	5	41184209	41184433
Glyma.05g235200	Glyma05g34990	5	41199165	41202456
Glyma.05g235300	Glyma05g34980	5	41205587	41209374
Glyma.05g235400	Glyma05g34970	5	41211012	41214813
Glyma.05g235500	Glyma05g34960	5	41222020	41225905
Glyma.05g235600	Glyma05g34945	5	41227029	41231779
Glyma.05g235700	Glyma05g34930	5	41238685	41242945
Glyma.05g235800	Glyma05g34920	5	41243188	41245090
Glyma.05g235900	Glyma05g34910	5	41245760	41248217
Glyma.05g236000	Glyma05g34900	5	41249938	41254224
Glyma.05g236100	Glyma05g34890	5	41255216	41258112
Glyma.05g236200	Glyma05g34876	5	41259373	41264057
Glyma.05g236300	Glyma05g34870	5	41265538	41267276
Glyma.05g236400	Glyma05g34850	5	41274513	41279615
Glyma.05g236500	Glyma05g34840	5	41281427	41286905
Glyma.05g236600	Glyma05g34830	5	41293446	41294570
Glyma.05g236700	Glyma05g34820	5	41301540	41310727
Glyma.05g236800	Glyma05g34810	5	41318276	41321678
Glyma.05g236900	Glyma05g34800	5	41330494	41333897
Glyma.05g237000	Glyma05g34790	5	41337418	41344545
Glyma.05g237100	Glyma05g34780	5	41347025	41351690
Glyma.05g237200	Glyma05g34760	5	41356616	41361074
Glyma.05g237300	Glyma05g34750	5	41365082	41368232
Glyma.05g237400	Glyma05g34740	5	41370553	41373962
Glyma.05g237500	Glyma05g34730	5	41383632	41394607
Glyma.05g237600	Glyma05g34720	5	41395992	41397671
Glyma.05g237700	Glyma05g34710	5	41401407	41402926
Glyma.05g237800	Glyma05g34700	5	41406807	41413022
Glyma.05g237900	Glyma05g34690	5	41416320	41420089
Glyma.05g238000	Glyma05g34680	5	41421977	41424257
Glyma.05g238100	Glyma05g34670	5	41429066	41430693
Glyma.05g238200	Glyma05g34660	5	41435139	41435681
Glyma.05g238300	Glyma05g34650	5	41436510	41439195
Glyma.05g238400	Glyma05g34640	5	41442332	41442898
Glyma.05g238500	Glyma05g34630	5	41444788	41449159
Glyma.05g238600	Glyma05g34620	5	41452071	41455695
Glyma.05g238700	Glyma05g34610	5	41456121	41465037
Glyma.05g238800	Glyma05g34600	5	41467979	41477805
Glyma.05g238900	Glyma05g34580	5	41484519	41488458
Glyma.05g239000	Glyma05g34570	5	41489721	41491777
Glyma.05g239100	Glyma05g34560	5	41493573	41498474
Glyma.05g239200	Glyma05g34550	5	41500187	41501474
Glyma.05g239300	Glyma05g34540	5	41502076	41508914
Glyma.05g239400	Glyma05g34530	5	41510779	41514170
Glyma.05g239500	Glyma05g34523	5	41517981	41520403
Glyma.05g239600	NA	5	41520570	41520949
Glyma.05g239700	NA	5	41524657	41525235
Glyma.05g239800	NA	5	41525633	41526674
Glyma.05g239900	Glyma05g34510	5	41527555	41529639
Glyma.05g240000	Glyma05g34500	5	41530100	41536318
Glyma.05g240100	Glyma05g34490	5	41537824	41541096
Glyma.05g240200	Glyma05g34480	5	41542316	41550364
Glyma.05g240300	Glyma05g34470	5	41556012	41559032
Glyma.05g240400	Glyma05g34460	5	41559955	41560122
Glyma.05g240500	Glyma05g34450	5	41562811	41565666
Glyma.05g240600	Glyma05g34430	5	41566791	41569485
Glyma.05g240700	Glyma05g34420	5	41572819	41576662
Glyma.05g240800	Glyma05g34410	5	41579557	41582577
Glyma.05g240900	Glyma05g34400	5	41583333	41589128
Glyma.05g241000	Glyma05g34370	5	41602587	41604789
Glyma.05g241100	Glyma05g34360	5	41608543	41614319
Glyma.05g241200	Glyma05g34350	5	41615990	41617306
Glyma.05g241300	Glyma05g34340	5	41618611	41620223
Glyma.05g241400	Glyma05g34330	5	41620299	41639644
Glyma.05g241500	Glyma05g34320	5	41646536	41653285
Glyma.05g241600	Glyma05g34310	5	41654978	41662988
Glyma.05g241700	Glyma05g34290	5	41682476	41684361
Glyma.05g241800	Glyma05g34280	5	41689416	41692823
Glyma.05g241900	Glyma05g34270	5	41697530	41701571
Glyma.05g242000	Glyma05g34250	5	41702092	41708191
Glyma.05g242100	Glyma05g34243	5	41714601	41715146
Glyma.05g242200	Glyma05g34236	5	41728339	41729857
Glyma.05g242300	Glyma05g34230	5	41737333	41740427
Glyma.05g242400	Glyma05g34220	5	41741742	41745069
Glyma.05g242500	NA	5	41746389	41751249
Glyma.05g242600	Glyma05g34200	5	41753113	41754953
Glyma.05g242700	Glyma05g34190	5	41760764	41763104
Glyma.05g242800	Glyma05g34180	5	41764513	41775358
Glyma.05g242900	Glyma05g34170	5	41776590	41779062
Glyma.05g243000	Glyma05g34150	5	41782405	41787874
Glyma.05g243100	Glyma05g34160	5	41782634	41784159
Glyma.05g243200	Glyma05g34140	5	41789764	41792714
Glyma.05g243300	Glyma05g34130	5	41793513	41799426
Glyma.05g243400	Glyma05g34120	5	41800695	41809429
Glyma.05g243500	Glyma05g34110	5	41813989	41818566
Glyma.05g243600	Glyma05g34090	5	41821542	41824286
Glyma.05g243700	Glyma05g34080	5	41827396	41833812
Glyma.05g243800	Glyma05g34070	5	41837252	41839280
Glyma.05g243900	Glyma05g34060	5	41840387	41845675
Glyma.05g244000	Glyma05g34040	5	41849622	41849783
Glyma.05g244100	Glyma05g34030	5	41852863	41854961
Glyma.05g244200	Glyma05g34020	5	41864411	41867384
Glyma.05g244300	Glyma05g34010	5	41876299	41879940
Glyma.05g244400	Glyma05g34000	5	41880911	41883720
Glyma.05g244500	Glyma05g33990	5	41883870	41884019
Glyma.05g244600	Glyma05g33980	5	41884792	41889708
Glyma.05g244700	Glyma05g33970	5	41895267	41898509
Glyma.05g244800	Glyma05g33960	5	41899837	41905855
Glyma.05g244900	NA	5	41908936	41911564
Glyma.05g245000	Glyma05g33940	5	41912388	41916409
Glyma.05g245100	Glyma05g33930	5	41916780	41921153
Glyma.05g245200	Glyma05g33920	5	41922174	41924386
Glyma.05g245300	Glyma05g33910	5	41925667	41935273
Glyma.05g245400	Glyma05g33901	5	41940483	41944540
Glyma.05g245500	Glyma05g33890	5	41945440	41948540
Glyma.05g245600	Glyma05g33880	5	41954908	41955938
Glyma.05g245700	Glyma05g33871	5	41958116	41963008
Glyma.05g245800	Glyma05g33860	5	41963184	41964593
Glyma.05g245900	Glyma05g33850	5	41973634	41976645
Glyma.05g246000	Glyma05g33840	5	41982816	41986057
Glyma.05g246100	Glyma05g33830	5	41987169	41988796
Glyma.05g246200	Glyma05g33820	5	41989523	41993349
Glyma.05g246300	Glyma05g33810	5	41993104	42000026
Glyma.05g246400	Glyma05g33800	5	42001938	42003102
Glyma.05g246500	Glyma05g33790	5	42009068	42013268
Glyma.05g246600	Glyma05g33780	5	42014462	42018379
Glyma.05g246700	Glyma05g33770	5	42018718	42021866
Glyma.05g246800	Glyma05g33760	5	42024717	42025636
Glyma.05g246900	Glyma05g33750	5	42032313	42036009
Glyma.05g247000	Glyma05g33730	5	42037888	42051839
Glyma.05g247100	Glyma05g33720	5	42056899	42060058
Glyma.05g247200	Glyma05g33711	5	42060482	42066353
Glyma.05g247300	Glyma05g33700	5	42069523	42072326
Glyma.05g247400	Glyma05g33691	5	42078431	42079338
Glyma.05g247500	Glyma05g33660	5	42083146	42095871
Glyma.05g247600	NA	5	42086531	42088447
Glyma.05g247700	Glyma05g33650	5	42097823	42099958
Glyma.05g247800	Glyma05g33640	5	42105777	42107998
Glyma.05g247900	Glyma05g33630	5	42109945	42112794
Glyma.05g248000	Glyma05g33620	5	42113952	42117137
Glyma.05g248100	Glyma05g33610	5	42118348	42121375
Glyma.05g248200	Glyma05g33600	5	42124919	42125764
Glyma.05g248300	Glyma05g33590	5	42136611	42138824
Glyma.05g248400	NA	5	42149227	42155862
Glyma.05g248500	Glyma05g33560	5	42156880	42168695
Glyma.05g248600	Glyma05g33540	5	42179973	42183586
Glyma.05g248700	Glyma05g33530	5	42184247	42189545
Glyma.05g248800	Glyma05g33520	5	42196163	42199961
Glyma.05g248900	Glyma05g33510	5	42203372	42214762
Glyma.05g249000	Glyma05g33500	5	42216340	42219213
Glyma.05g249100	Glyma05g33481	5	42230819	42234431
Glyma.06g000100	Glyma0006s50	6	1764	15071
Glyma.06g000200	Glyma06g00220	6	16505	22866
Glyma.06g000300	Glyma06g00230	6	24627	43429
Glyma.06g000400	Glyma06g00240	6	46421	49689
Glyma.06g000500	Glyma06g00260	6	72935	78162
Glyma.06g000600	Glyma06g00275	6	93172	96057
Glyma.06g000700	Glyma06g00290	6	97823	101462
Glyma.06g000800	Glyma06g00300	6	101247	106283
Glyma.06g000900	Glyma06g00310	6	109488	111528
Glyma.06g001000	Glyma06g00320	6	111625	114172
Glyma.06g001100	Glyma06g00330	6	116892	123041
Glyma.06g001200	Glyma06g00340	6	125067	127777
Glyma.06g001300	Glyma06g00360	6	127001	136968
Glyma.06g001400	Glyma06g00370	6	137474	146529
Glyma.06g001500	Glyma06g00380	6	150300	151789
Glyma.06g0016002	NA	6	154527	154605
Glyma.06g0016001	NA	6	154868	159057
Glyma.06g001700	Glyma06g00400	6	163171	168152
Glyma.06g001800	Glyma06g00420	6	171121	172366
Glyma.06g001900	NA	6	173301	187071
Glyma.06g002000	Glyma06g00440	6	189825	194984
Glyma.06g002100	NA	6	191436	192219
Glyma.06g002200	Glyma06g00445	6	199327	204576
Glyma.06g002300	Glyma06g00450	6	209064	210730
Glyma.06g002400	Glyma06g00461	6	213165	218525
Glyma.06g002500	Glyma06g00471	6	218811	219901
Glyma.06g002600	Glyma06g00480	6	220584	224030
Glyma.06g002700	Glyma06g00490	6	224881	229137
Glyma.06g002800	Glyma06g00500	6	229289	232377
Glyma.06g002900	Glyma06g00510	6	233065	235274
Glyma.06g003000	Glyma06g00523	6	236797	258102
Glyma.06g003100	Glyma06g00536	6	261844	264539
Glyma.06g003200	Glyma06g00550	6	268255	269679
Glyma.06g003300	Glyma06g00560	6	274977	279806
Glyma.06g003400	Glyma06g00580	6	291504	293527
Glyma.06g003500	Glyma06g00590	6	302165	303761
Glyma.06g003600	Glyma06g00600	6	314754	324911
Glyma.06g003700	Glyma06g00610	6	326326	332702
Glyma.06g003800	Glyma06g00630	6	347098	348294
Glyma.06g003900	Glyma06g00640	6	363328	364582
Glyma.06g004000	NA	6	368126	368994
Glyma.06g004100	NA	6	369069	370787
Glyma.06g004200	Glyma06g00660	6	372456	373476
Glyma.06g004300	Glyma06g00671	6	375602	376586
Glyma.06g004400	Glyma06g00680	6	380973	384365
Glyma.06g004500	Glyma06g00690	6	393722	398436
Glyma.06g004600	NA	6	399240	400070
Glyma.06g004700	Glyma06g00700	6	404040	406384
Glyma.06g004800	Glyma06g00710	6	414475	415992
Glyma.06g004900	Glyma06g00720	6	419216	421603
Glyma.06g005000	Glyma06g00730	6	424493	428218
Glyma.06g005100	Glyma06g00740	6	431771	432624
Glyma.06g005200	Glyma06g00750	6	439273	439827
Glyma.06g005300	Glyma06g00760	6	441762	442040
Glyma.06g005400	Glyma06g00770	6	446722	450595
Glyma.06g005500	Glyma06g00781	6	452320	454790
Glyma.06g005600	Glyma06g00790	6	455757	459701
Glyma.06g005700	Glyma06g00800	6	461448	465909
Glyma.06g005800	Glyma06g00810	6	467625	469796
Glyma.06g005900	Glyma06g00820	6	474758	478718
Glyma.06g006000	Glyma06g00831	6	490525	491343
Glyma.06g006100	Glyma06g00841	6	497549	498075
Glyma.06g006200	Glyma06g00851	6	499805	500095
Glyma.06g006300	Glyma06g00861	6	501919	502164
Glyma.06g006400	Glyma06g00871	6	502649	503783
Glyma.06g006500	Glyma06g00880	6	506486	507090
Glyma.06g006600	Glyma06g00895	6	518402	518851
Glyma.06g006700	Glyma06g00910	6	522700	523227
Glyma.06g006800	Glyma06g00930	6	525272	525852
Glyma.06g0069002	NA	6	526682	527345
Glyma.06g007000	NA	6	527462	528607
Glyma.06g0069001	NA	6	527504	528025
Glyma.06g007100	Glyma06g00950	6	540649	541686
Glyma.06g007200	NA	6	547632	549940
Glyma.06g007300	Glyma06g00960	6	550887	554181
Glyma.06g007400	Glyma06g00980	6	561498	563749
Glyma.06g007500	Glyma06g00990	6	592809	596209
Glyma.06g007600	Glyma06g01000	6	602182	604965
Glyma.06g007700	Glyma06g01010	6	607812	609478
Glyma.06g007800	Glyma06g01021	6	609878	610195
Glyma.06g007900	Glyma06g01030	6	612328	614478
Glyma.06g008000	Glyma06g01045	6	615065	622205
Glyma.06g008100	NA	6	626709	627957
Glyma.06g008200	Glyma06g01060	6	631065	635197
Glyma.06g008300	Glyma06g01070	6	639650	651459
Glyma.06g008400	Glyma06g01080	6	652644	654330
Glyma.06g008500	Glyma06g01087	6	658745	664040
Glyma.06g008600	Glyma06g01094	6	661593	661811
Glyma.06g008700	Glyma06g01102	6	665420	669270
Glyma.06g008800	Glyma06g01110	6	674393	675977
Glyma.06g008900	Glyma06g01120	6	684301	690846
Glyma.06g009000	Glyma06g01130	6	699066	713017
Glyma.06g009100	Glyma06g01140	6	715587	717554
Glyma.06g009200	Glyma06g01160	6	731348	734041
Glyma.06g009300	NA	6	738583	739373
Glyma.06g009400	Glyma06g01180	6	744126	748347
Glyma.06g009500	Glyma06g01186	6	750750	754779
Glyma.06g009600	Glyma06g01193	6	755252	756161
Glyma.06g009700	Glyma06g01200	6	762125	764892
Glyma.06g009800	Glyma06g01210	6	765311	768672
Glyma.06g009900	Glyma06g01220	6	770496	775268
Glyma.06g010000	Glyma06g01226	6	782310	783079
Glyma.06g010100	Glyma06g01233	6	784524	784995
Glyma.06g010200	Glyma06g01240	6	800970	802207
Glyma.06g010300	NA	6	801821	801949
Glyma.06g010400	Glyma06g01260	6	811294	818701
Glyma.06g010500	Glyma06g01270	6	819058	823807
Glyma.06g010600	Glyma06g01280	6	828070	833094
Glyma.06g010700	Glyma06g01286	6	836126	836410
Glyma.06g010800	NA	6	836611	837676
Glyma.06g010900	Glyma06g01300	6	840397	841598
Glyma.06g011000	Glyma06g01310	6	845580	847488
Glyma.06g011100	Glyma06g01320	6	850511	851697
Glyma.06g011200	Glyma06g01330	6	853128	854132
Glyma.06g011300	Glyma06g01340	6	859145	860238
Glyma.06g011400	NA	6	861703	863453
Glyma.06g011500	Glyma06g01355	6	864504	865387
Glyma.06g011600	Glyma06g01370	6	866275	867210
Glyma.06g011700	Glyma06g01380	6	873613	878088
Glyma.06g011800	Glyma06g01391	6	878395	881263
Glyma.06g011900	Glyma06g01400	6	882306	886088
Glyma.06g012000	Glyma06g01410	6	886546	891287
Glyma.06g012100	Glyma06g01421	6	892934	894717
Glyma.06g012200	Glyma06g01430	6	900351	902864
Glyma.06g012300	Glyma06g01445	6	905364	905783
Glyma.06g012400	NA	6	917888	919783
Glyma.06g012500	Glyma06g01460	6	920388	922296
Glyma.06g012600	Glyma06g01471	6	927667	928891
Glyma.06g012700	Glyma06g01480	6	945232	950949
Glyma.06g012800	Glyma06g01490	6	956013	959304
Glyma.06g012900	Glyma06g01500	6	961332	965588
Glyma.06g013000	Glyma06g01510	6	966714	973712
Glyma.06g013100	Glyma06g01520	6	975674	982694
Glyma.06g013200	Glyma06g01540	6	984674	988203
Glyma.06g013300	Glyma06g01550	6	997830	998748
Glyma.06g013400	Glyma06g01570	6	1003703	1005435
Glyma.06g013500	Glyma06g01580	6	1009335	1010213
Glyma.06g013600	Glyma06g01600	6	1015647	1018243
Glyma.06g013700	Glyma06g01611	6	1019677	1020904
Glyma.06g013800	Glyma06g01620	6	1023329	1045130
Glyma.06g013900	Glyma06g01640	6	1052183	1060487
Glyma.06g014000	NA	6	1056858	1059706
Glyma.06g014100	Glyma06g01650	6	1072128	1072901
Glyma.06g014200	Glyma06g01660	6	1077612	1078478
Glyma.06g014300	Glyma06g01670	6	1081936	1086961
Glyma.06g014400	Glyma06g01680	6	1088340	1092060
Glyma.06g014500	Glyma06g01690	6	1092774	1095202
Glyma.06g014600	Glyma06g01700	6	1097786	1101942
Glyma.06g014700	Glyma06g01710	6	1102922	1104642
Glyma.06g014800	Glyma06g01730	6	1108797	1110462
Glyma.06g014900	Glyma06g01741	6	1116201	1118815
Glyma.06g015000	Glyma06g01750	6	1127434	1132895
Glyma.06g015100	Glyma06g01760	6	1134985	1137667
Glyma.06g015200	Glyma06g01770	6	1142331	1143365
Glyma.06g015300	Glyma06g01780	6	1144087	1146569
Glyma.06g015400	Glyma06g01790	6	1147523	1152010
Glyma.06g015500	Glyma06g01800	6	1153533	1158111
Glyma.06g015600	Glyma06g01810	6	1159532	1165807
Glyma.06g015700	Glyma06g01820	6	1169483	1173566
Glyma.06g015800	Glyma06g01835	6	1183362	1185866
Glyma.06g015900	Glyma06g01850	6	1187405	1190649
Glyma.06g016000	Glyma06g01860	6	1193448	1198664
Glyma.06g016100	Glyma06g01870	6	1202587	1205865
Glyma.06g016200	Glyma06g01880	6	1206345	1210422
Glyma.06g016300	Glyma06g01895	6	1213146	1214172
Glyma.06g016400	Glyma06g01910	6	1217842	1220915
Glyma.06g016500	Glyma06g01920	6	1222930	1227661
Glyma.06g016600	NA	6	1230333	1238915
Glyma.06g016700	Glyma06g01930	6	1231469	1242345
Glyma.06g016800	Glyma06g01940	6	1244908	1246941
Glyma.06g016900	Glyma06g01950	6	1253768	1260501
Glyma.06g017000	Glyma06g01961	6	1261615	1262360
Glyma.06g017100	Glyma06g01970	6	1266789	1268950
Glyma.06g017200	NA	6	1272738	1272938
Glyma.06g017300	Glyma06g01980	6	1277337	1281980
Glyma.06g017400	Glyma06g01990	6	1284619	1286376
Glyma.06g017500	Glyma06g02000	6	1290486	1294559
Glyma.06g017600	Glyma06g02010	6	1302639	1306266
Glyma.06g017700	Glyma06g02020	6	1318098	1333800
Glyma.06g017800	Glyma06g02030	6	1338317	1343018
Glyma.06g017900	Glyma06g02040	6	1351502	1356327
Glyma.06g018000	Glyma06g02051	6	1359828	1368182
Glyma.06g018100	Glyma06g02060	6	1369425	1370433
Glyma.06g018200	Glyma06g02070	6	1377208	1382415
Glyma.06g018300	Glyma06g02080	6	1381907	1386631
Glyma.06g018400	Glyma06g02090	6	1387679	1395772
Glyma.06g018500	Glyma06g02100	6	1396386	1400269
Glyma.06g018600	Glyma06g02110	6	1403996	1411771
Glyma.06g018700	Glyma06g02120	6	1410565	1419075
Glyma.06g018800	Glyma06g02130	6	1422686	1427740
Glyma.06g018900	Glyma06g02140	6	1440951	1444486
Glyma.06g019000	Glyma06g02160	6	1445287	1447312
Glyma.06g019100	Glyma06g02170	6	1451513	1452959
Glyma.06g019200	Glyma06g02181	6	1460793	1464431
Glyma.06g019300	Glyma06g02190	6	1467038	1470770
Glyma.06g019400	Glyma06g02200	6	1472249	1476137
Glyma.06g019500	Glyma06g02210	6	1481678	1485572
Glyma.06g019600	Glyma06g02220	6	1486231	1487955
Glyma.06g019700	Glyma06g02230	6	1489670	1490503
Glyma.06g019800	Glyma06g02240	6	1494230	1501925
Glyma.06g019900	Glyma06g02250	6	1504441	1508812
Glyma.06g020000	Glyma06g02270	6	1518868	1521483
Glyma.06g020100	Glyma06g02276	6	1527123	1528951
Glyma.06g020200	Glyma06g02283	6	1531682	1532739
Glyma.06g020300	Glyma06g02290	6	1539604	1541188
Glyma.06g020400	Glyma06g02300	6	1544920	1546172
Glyma.06g020500	Glyma06g02310	6	1546983	1555296
Glyma.06g020600	Glyma06g02320	6	1557807	1567132
Glyma.06g020700	Glyma06g02330	6	1571570	1573409
Glyma.06g020800	Glyma06g02340	6	1577423	1579216
Glyma.06g020900	Glyma06g02351	6	1581788	1584717
Glyma.06g021000	Glyma06g02360	6	1585026	1589149
Glyma.06g021100	NA	6	1593986	1597965
Glyma.06g021200	Glyma06g02380	6	1600041	1607406
Glyma.06g021300	NA	6	1614660	1615579
Glyma.06g021400	Glyma06g02390	6	1617134	1618607
Glyma.06g021500	Glyma06g02400	6	1626273	1627385
Glyma.06g021600	Glyma06g02410	6	1629728	1633127
Glyma.06g021700	Glyma06g02420	6	1635912	1637899
Glyma.06g021800	Glyma06g02430	6	1639870	1641117
Glyma.06g021900	Glyma06g02440	6	1641909	1645197
Glyma.06g022000	NA	6	1647706	1647906
Glyma.06g022100	Glyma06g02460	6	1650531	1655268
Glyma.06g022200	NA	6	1652959	1653965
Glyma.06g022300	Glyma06g02470	6	1657191	1659313
Glyma.06g022400	NA	6	1666101	1666418
Glyma.06g022500	Glyma06g02481	6	1672476	1676922
Glyma.06g022600	Glyma06g02500	6	1683793	1687160
Glyma.06g022700	Glyma06g02520	6	1690335	1692895
Glyma.06g022800	Glyma06g02530	6	1697328	1701424
Glyma.06g022900	Glyma06g02540	6	1710750	1715707
Glyma.06g023000	Glyma06g02550	6	1719639	1733826
Glyma.06g023100	Glyma06g02560	6	1731712	1733297
Glyma.06g023200	Glyma06g02571	6	1736225	1736995
Glyma.06g023300	Glyma06g02580	6	1739095	1743197
Glyma.06g023400	Glyma06g02591	6	1749807	1751040
Glyma.06g023500	Glyma06g02600	6	1755871	1765396
Glyma.06g023600	Glyma06g02610	6	1770393	1777058
Glyma.06g023700	Glyma06g02620	6	1779628	1780821
Glyma.06g023800	NA	6	1785513	1785680
Glyma.06g023900	Glyma06g02630	6	1789191	1792812
Glyma.06g024000	Glyma06g02640	6	1800214	1805307
Glyma.06g024100	Glyma06g02650	6	1806834	1810627
Glyma.06g024200	Glyma06g02661	6	1814633	1815829
Glyma.06g024300	Glyma06g02670	6	1820186	1822892
Glyma.06g024400	Glyma06g02680	6	1825940	1831404
Glyma.06g024500	Glyma06g02690	6	1833925	1835173
Glyma.06g024600	Glyma06g02702	6	1839002	1843501
Glyma.06g024700	NA	6	1844483	1850566
Glyma.06g024800	Glyma06g02726	6	1855002	1855606
Glyma.06g024900	Glyma06g02738	6	1863008	1866952
Glyma.06g025000	Glyma06g02750	6	1870107	1873596
Glyma.06g025100	Glyma06g02760	6	1878567	1884488
Glyma.06g025200	Glyma06g02770	6	1888158	1891061
