Object.Name	LG	Start.cM	Stop.cM	Object.Type
BARCSOYSSR_07_1527	M	122.37	122.37	SSR
BARCSOYSSR_07_1556	M	130.75	130.75	SSR
BARCSOYSSR_07_1561	M	128.47	128.47	SSR
BARCSOYSSR_07_1604	M	139.8	139.8	SSR
BARCSOYSSR_07_1644	M	140.69	140.69	SSR
BARCSOYSSR_08_0014	A2	0	0	SSR
BARCSOYSSR_08_0064	A2	9.14	9.14	SSR
BARCSOYSSR_08_0204	A2	25.9	25.9	SSR
BARCSOYSSR_08_0206	A2	26.5	26.5	SSR
BARCSOYSSR_08_0216	A2	28.44	28.44	SSR
BARCSOYSSR_08_0247	A2	27.9	27.9	SSR
BARCSOYSSR_08_0262	A2	35.02	35.02	SSR
BARCSOYSSR_08_0270	A2	35.93	35.93	SSR
BARCSOYSSR_08_0273	A2	33.95	33.95	SSR
BARCSOYSSR_08_0305	A2	35.68	35.68	SSR
BARCSOYSSR_08_0310	A2	38.06	38.06	SSR
BARCSOYSSR_08_0371	A2	45.29	45.29	SSR
BARCSOYSSR_08_0441	A2	49.38	49.38	SSR
BARCSOYSSR_08_0454	A2	51.5	51.5	SSR
BARCSOYSSR_08_0458	A2	51.86	51.86	SSR
BARCSOYSSR_08_0460	A2	51.57	51.57	SSR
BARCSOYSSR_08_0499	A2	56.32	56.32	SSR
BARCSOYSSR_08_0503	A2	54.91	54.91	SSR
BARCSOYSSR_08_0506	A2	53.75	53.75	SSR
BARCSOYSSR_08_0556	A2	52.57	52.57	SSR
BARCSOYSSR_08_0579	A2	60.59	60.59	SSR
BARCSOYSSR_08_0651	A2	61.44	61.44	SSR
BARCSOYSSR_08_0724	A2	77.69	77.69	SSR
BARCSOYSSR_08_0818	A2	84.08	84.08	SSR
BARCSOYSSR_08_0849	A2	84.08	84.08	SSR
BARCSOYSSR_08_0858	A2	87.57	87.57	SSR
BARCSOYSSR_08_0879	A2	86.41	86.41	SSR
BARCSOYSSR_08_0909	A2	90.83	90.83	SSR
BARCSOYSSR_08_0948	A2	83.61	83.61	SSR
BARCSOYSSR_08_0960	A2	100.08	100.08	SSR
BARCSOYSSR_08_1032	A2	106.29	106.29	SSR
BARCSOYSSR_08_1045	A2	105.18	105.18	SSR
BARCSOYSSR_08_1127	A2	109.83	109.83	SSR
BARCSOYSSR_08_1142	A2	110.94	110.94	SSR
BARCSOYSSR_08_1162	A2	111.45	111.45	SSR
BARCSOYSSR_08_1164	A2	108.77	108.77	SSR
BARCSOYSSR_08_1216	A2	112.87	112.87	SSR
BARCSOYSSR_08_1226	A2	115.25	115.25	SSR
BARCSOYSSR_08_1240	A2	116.62	116.62	SSR
BARCSOYSSR_08_1244	A2	116.63	116.63	SSR
BARCSOYSSR_08_1245	A2	116.62	116.62	SSR
BARCSOYSSR_08_1246	A2	116.41	116.41	SSR
BARCSOYSSR_08_1321	A2	115.93	115.93	SSR
BARCSOYSSR_08_1361	A2	116.73	116.73	SSR
BARCSOYSSR_08_1480	A2	118.63	118.63	SSR
BARCSOYSSR_08_1494	A2	119.58	119.58	SSR
BARCSOYSSR_08_1502	A2	122.05	122.05	SSR
BARCSOYSSR_08_1530	A2	125.37	125.37	SSR
BARCSOYSSR_08_1557	A2	123.26	123.26	SSR
BARCSOYSSR_08_1637	A2	129.86	129.86	SSR
BARCSOYSSR_08_1679	A2	131.97	131.97	SSR
BARCSOYSSR_08_1811	A2	154.11	154.11	SSR
BARCSOYSSR_08_1873	A2	158.38	158.38	SSR
BARCSOYSSR_08_1876	A2	162.02	162.02	SSR
BARCSOYSSR_08_1890	A2	159.63	159.63	SSR
BARCSOYSSR_08_1910	A2	165.72	165.72	SSR
BARCSOYSSR_09_0017	K	0.91	0.91	SSR
BARCSOYSSR_09_0029	K	1.8	1.8	SSR
BARCSOYSSR_09_0057	K	4.85	4.85	SSR
BARCSOYSSR_09_0117	K	14.35	14.35	SSR
BARCSOYSSR_09_0125	K	17.11	17.11	SSR
BARCSOYSSR_09_0338	K	36.99	36.99	SSR
BARCSOYSSR_09_0411	K	40.86	40.86	SSR
BARCSOYSSR_09_0459	K	42.38	42.38	SSR
BARCSOYSSR_09_0465	K	42.7	42.7	SSR
BARCSOYSSR_09_0487	K	44.66	44.66	SSR
BARCSOYSSR_09_0492	K	43.95	43.95	SSR
BARCSOYSSR_09_0535	K	45.59	45.59	SSR
BARCSOYSSR_09_0549	K	46.2	46.2	SSR
BARCSOYSSR_09_0550	K	43.34	43.34	SSR
BARCSOYSSR_09_0551	K	45.74	45.74	SSR
BARCSOYSSR_09_0596	K	43.04	43.04	SSR
BARCSOYSSR_09_0597	K	44.99	44.99	SSR
BARCSOYSSR_09_0602	K	46.63	46.63	SSR
BARCSOYSSR_09_0637	K	45.13	45.13	SSR
BARCSOYSSR_09_0652	K	46.2	46.2	SSR
BARCSOYSSR_09_0696	K	46.25	46.25	SSR
BARCSOYSSR_09_0723	K	47.38	47.38	SSR
BARCSOYSSR_09_0750	K	46.79	46.79	SSR
BARCSOYSSR_09_0822	K	54	54	SSR
BARCSOYSSR_09_0835	K	49.59	49.59	SSR
BARCSOYSSR_09_0837	K	49.52	49.52	SSR
BARCSOYSSR_09_0857	K	56.84	56.84	SSR
BARCSOYSSR_09_0881	K	50.31	50.31	SSR
BARCSOYSSR_09_0889	K	52.27	52.27	SSR
BARCSOYSSR_09_0954	K	50.79	50.79	SSR
BARCSOYSSR_09_0958	K	51.45	51.45	SSR
BARCSOYSSR_09_0967	K	50.93	50.93	SSR
BARCSOYSSR_09_0991	K	52.88	52.88	SSR
BARCSOYSSR_09_1052	K	58	58	SSR
BARCSOYSSR_09_1091	K	54.97	54.97	SSR
BARCSOYSSR_09_1092	K	51	51	SSR
BARCSOYSSR_09_1093	K	61.66	61.66	SSR
BARCSOYSSR_09_1132	K	56.61	56.61	SSR
BARCSOYSSR_09_1137	K	55.7	55.7	SSR
BARCSOYSSR_09_1170	K	54.12	54.12	SSR
BARCSOYSSR_09_1235	K	71.01	71.01	SSR
BARCSOYSSR_09_1303	K	77.37	77.37	SSR
BARCSOYSSR_09_1315	K	78.68	78.68	SSR
BARCSOYSSR_09_1321	K	80.12	80.12	SSR
BARCSOYSSR_09_1358	K	85.19	85.19	SSR
BARCSOYSSR_09_1370	K	86.77	86.77	SSR
BARCSOYSSR_09_1453	K	93.63	93.63	SSR
BARCSOYSSR_09_1512	K	99.09	99.09	SSR
BARCSOYSSR_09_1541	K	104.79	104.79	SSR
BARCSOYSSR_09_1616	K	108.19	108.19	SSR
BARCSOYSSR_09_1661	K	117.01	117.01	SSR
BARCSOYSSR_10_0008	O	0	0	SSR
BARCSOYSSR_10_0068	O	5.44	5.44	SSR
BARCSOYSSR_10_0086	O	9.53	9.53	SSR
BARCSOYSSR_10_0116	O	14.17	14.17	SSR
BARCSOYSSR_10_0122	O	17.25	17.25	SSR
BARCSOYSSR_10_0152	O	19.44	19.44	SSR
BARCSOYSSR_10_0163	O	20.43	20.43	SSR
BARCSOYSSR_10_0166	O	20.93	20.93	SSR
BARCSOYSSR_10_0206	O	24.61	24.61	SSR
BARCSOYSSR_10_0233	O	28.95	28.95	SSR
BARCSOYSSR_10_0281	O	38.09	38.09	SSR
BARCSOYSSR_10_0298	O	42.29	42.29	SSR
BARCSOYSSR_10_0507	O	49.7	49.7	SSR
BARCSOYSSR_10_0521	O	39.25	39.25	SSR
BARCSOYSSR_10_0564	O	59.43	59.43	SSR
BARCSOYSSR_10_0568	O	56.58	56.58	SSR
BARCSOYSSR_10_0576	O	51.9	51.9	SSR
BARCSOYSSR_10_0584	O	56.93	56.93	SSR
BARCSOYSSR_10_0630	O	54.68	54.68	SSR
BARCSOYSSR_10_0687	O	55.09	55.09	SSR
BARCSOYSSR_10_0736	O	56.27	56.27	SSR
BARCSOYSSR_10_0767	O	53.18	53.18	SSR
BARCSOYSSR_10_0800	O	54.2	54.2	SSR
BARCSOYSSR_10_0804	O	53.66	53.66	SSR
BARCSOYSSR_10_0819	O	55.58	55.58	SSR
BARCSOYSSR_10_0915	O	59.49	59.49	SSR
BARCSOYSSR_10_0949	O	56.13	56.13	SSR
BARCSOYSSR_10_0972	O	57.02	57.02	SSR
BARCSOYSSR_10_0978	O	52.11	52.11	SSR
BARCSOYSSR_10_0982	O	58.4	58.4	SSR
BARCSOYSSR_10_1020	O	61.11	61.11	SSR
BARCSOYSSR_10_1028	O	63.81	63.81	SSR
BARCSOYSSR_10_1058	O	68.38	68.38	SSR
BARCSOYSSR_10_1072	O	63.99	63.99	SSR
BARCSOYSSR_10_1087	O	71.09	71.09	SSR
BARCSOYSSR_10_1104	O	74.05	74.05	SSR
BARCSOYSSR_10_1148	O	82.08	82.08	SSR
BARCSOYSSR_10_1339	O	100.37	100.37	SSR
BARCSOYSSR_10_1353	O	107.58	107.58	SSR
BARCSOYSSR_10_1394	O	106.04	106.04	SSR
BARCSOYSSR_10_1395	O	104.01	104.01	SSR
BARCSOYSSR_10_1400	O	106.02	106.02	SSR
BARCSOYSSR_10_1480	O	112.16	112.16	SSR
BARCSOYSSR_10_1513	O	118.13	118.13	SSR
BARCSOYSSR_10_1517	O	119.5	119.5	SSR
BARCSOYSSR_10_1568	O	123.43	123.43	SSR
BARCSOYSSR_10_1590	O	128.44	128.44	SSR
BARCSOYSSR_10_1620	O	127.5	127.5	SSR
BARCSOYSSR_10_1621	O	129.3	129.3	SSR
BARCSOYSSR_11_0142	B1	14.32	14.32	SSR
BARCSOYSSR_11_0227	B1	21.99	21.99	SSR
BARCSOYSSR_11_0313	B1	28.33	28.33	SSR
BARCSOYSSR_11_0326	B1	32.95	32.95	SSR
BARCSOYSSR_11_0342	B1	32.5	32.5	SSR
BARCSOYSSR_11_0375	B1	36.48	36.48	SSR
BARCSOYSSR_11_0380	B1	37.79	37.79	SSR
BARCSOYSSR_11_0482	B1	46.38	46.38	SSR
BARCSOYSSR_11_0496	B1	49.73	49.73	SSR
BARCSOYSSR_11_0543	B1	54	54	SSR
BARCSOYSSR_11_0544	B1	53.41	53.41	SSR
BARCSOYSSR_11_0545	B1	53.42	53.42	SSR
BARCSOYSSR_11_0688	B1	57.91	57.91	SSR
BARCSOYSSR_11_0828	B1	71.97	71.97	SSR
BARCSOYSSR_11_0839	B1	73.76	73.76	SSR
BARCSOYSSR_11_0936	B1	80.88	80.88	SSR
BARCSOYSSR_11_1022	B1	81.91	81.91	SSR
BARCSOYSSR_11_1065	B1	81.3	81.3	SSR
BARCSOYSSR_11_1138	B1	84.25	84.25	SSR
BARCSOYSSR_11_1167	B1	82.88	82.88	SSR
BARCSOYSSR_11_1225	B1	85.91	85.91	SSR
BARCSOYSSR_11_1324	B1	96.36	96.36	SSR
BARCSOYSSR_11_1355	B1	100.87	100.87	SSR
BARCSOYSSR_11_1373	B1	102.55	102.55	SSR
BARCSOYSSR_11_1443	B1	128.66	128.66	SSR
BARCSOYSSR_11_1468	B1	123.95	123.95	SSR
BARCSOYSSR_11_1469	B1	125.73	125.73	SSR
BARCSOYSSR_12_0002	H	2.85	2.85	SSR
BARCSOYSSR_12_0011	H	3.02	3.02	SSR
BARCSOYSSR_12_0014	H	0.59	0.59	SSR
BARCSOYSSR_12_0037	H	4.88	4.88	SSR
BARCSOYSSR_12_0058	H	7.26	7.26	SSR
BARCSOYSSR_12_0068	H	8.48	8.48	SSR
BARCSOYSSR_12_0209	H	28.79	28.79	SSR
BARCSOYSSR_12_0221	H	27.63	27.63	SSR
BARCSOYSSR_12_0301	H	44.04	44.04	SSR
BARCSOYSSR_12_0320	H	46.95	46.95	SSR
BARCSOYSSR_12_0484	H	59	59	SSR
BARCSOYSSR_12_0584	H	55.17	55.17	SSR
BARCSOYSSR_12_0628	H	61.33	61.33	SSR
BARCSOYSSR_12_0667	H	64.09	64.09	SSR
BARCSOYSSR_12_0668	H	61.86	61.86	SSR
BARCSOYSSR_12_0692	H	66.2	66.2	SSR
BARCSOYSSR_12_0796	H	67.16	67.16	SSR
BARCSOYSSR_12_0933	H	68.5	68.5	SSR
BARCSOYSSR_12_0936	H	69.12	69.12	SSR
BARCSOYSSR_12_1006	H	68.18	68.18	SSR
BARCSOYSSR_12_1008	H	68.86	68.86	SSR
BARCSOYSSR_12_1065	H	72.18	72.18	SSR
BARCSOYSSR_12_1068	H	73.45	73.45	SSR
BARCSOYSSR_12_1142	H	81.04	81.04	SSR
BARCSOYSSR_12_1175	H	85.79	85.79	SSR
BARCSOYSSR_12_1192	H	85.26	85.26	SSR
BARCSOYSSR_12_1206	H	86.48	86.48	SSR
BARCSOYSSR_12_1207	H	89.08	89.08	SSR
BARCSOYSSR_12_1224	H	91.12	91.12	SSR
BARCSOYSSR_12_1229	H	83.19	83.19	SSR
BARCSOYSSR_12_1231	H	89.51	89.51	SSR
BARCSOYSSR_12_1299	H	99.5	99.5	SSR
BARCSOYSSR_12_1340	H	105.73	105.73	SSR
BARCSOYSSR_13_0062	F	26.7	26.7	SSR
BARCSOYSSR_13_0071	F	25.58	25.58	SSR
BARCSOYSSR_13_0099	F	27.87	27.87	SSR
BARCSOYSSR_13_0100	F	32.32	32.32	SSR
BARCSOYSSR_13_0105	F	31.41	31.41	SSR
BARCSOYSSR_13_0119	F	27.09	27.09	SSR
BARCSOYSSR_13_0121	F	26.98	26.98	SSR
BARCSOYSSR_13_0196	F	33.18	33.18	SSR
BARCSOYSSR_13_0245	F	18.12	18.12	SSR
BARCSOYSSR_13_0264	F	20.55	20.55	SSR
BARCSOYSSR_13_0272	F	16.08	16.08	SSR
BARCSOYSSR_13_0282	F	15.29	15.29	SSR
BARCSOYSSR_13_0340	F	11.37	11.37	SSR
BARCSOYSSR_13_0341	F	10.65	10.65	SSR
BARCSOYSSR_13_0373	F	9.69	9.69	SSR
BARCSOYSSR_13_0445	F	3.95	3.95	SSR
BARCSOYSSR_13_0458	F	3.35	3.35	SSR
BARCSOYSSR_13_0477	F	3.42	3.42	SSR
BARCSOYSSR_13_0495	F	1.79	1.79	SSR
BARCSOYSSR_13_0497	F	3.11	3.11	SSR
BARCSOYSSR_13_0518	F	3.04	3.04	SSR
BARCSOYSSR_13_0522	F	3.63	3.63	SSR
BARCSOYSSR_13_0572	F	5.36	5.36	SSR
BARCSOYSSR_13_0573	F	1.92	1.92	SSR
BARCSOYSSR_13_0639	F	2.23	2.23	SSR
BARCSOYSSR_13_0687	F	44.41	44.41	SSR
BARCSOYSSR_13_0742	F	41.47	41.47	SSR
BARCSOYSSR_13_0784	F	43.43	43.43	SSR
BARCSOYSSR_13_0800	F	50.24	50.24	SSR
BARCSOYSSR_13_0818	F	50.77	50.77	SSR
BARCSOYSSR_13_0877	F	56.16	56.16	SSR
BARCSOYSSR_13_0937	F	57.77	57.77	SSR
BARCSOYSSR_13_0952	F	59.59	59.59	SSR
BARCSOYSSR_13_0981	F	66.55	66.55	SSR
BARCSOYSSR_13_1029	F	68.91	68.91	SSR
BARCSOYSSR_13_1055	F	63.68	63.68	SSR
BARCSOYSSR_13_1098	F	78.05	78.05	SSR
BARCSOYSSR_13_1219	F	71.41	71.41	SSR
BARCSOYSSR_13_1230	F	74.12	74.12	SSR
BARCSOYSSR_13_1241	F	72.97	72.97	SSR
BARCSOYSSR_13_1271	F	77.69	77.69	SSR
BARCSOYSSR_13_1331	F	82.83	82.83	SSR
BARCSOYSSR_13_1369	F	85.33	85.33	SSR
BARCSOYSSR_13_1377	F	87.01	87.01	SSR
BARCSOYSSR_13_1385	F	88.08	88.08	SSR
BARCSOYSSR_13_1410	F	91.87	91.87	SSR
BARCSOYSSR_13_1471	F	97.97	97.97	SSR
BARCSOYSSR_13_1522	F	103.51	103.51	SSR
BARCSOYSSR_13_1524	F	102.08	102.08	SSR
BARCSOYSSR_13_1617	F	111.88	111.88	SSR
BARCSOYSSR_13_1646	F	116.91	116.91	SSR
BARCSOYSSR_13_1672	F	119.19	119.19	SSR
BARCSOYSSR_13_1747	F	124.87	124.87	SSR
BARCSOYSSR_13_1760	F	117.65	117.65	SSR
BARCSOYSSR_13_1803	F	130.63	130.63	SSR
BARCSOYSSR_13_1837	F	135.94	135.94	SSR
BARCSOYSSR_13_1838	F	135.11	135.11	SSR
BARCSOYSSR_13_1938	F	146.41	146.41	SSR
BARCSOYSSR_14_0036	B2	6.05	6.05	SSR
BARCSOYSSR_14_0051	B2	7.84	7.84	SSR
BARCSOYSSR_14_0096	B2	12.56	12.56	SSR
BARCSOYSSR_14_0147	B2	20.3	20.3	SSR
BARCSOYSSR_14_0271	B2	27.62	27.62	SSR
BARCSOYSSR_14_0281	B2	31.87	31.87	SSR
BARCSOYSSR_14_0362	B2	17.77	17.77	SSR
BARCSOYSSR_14_0440	B2	43.15	43.15	SSR
BARCSOYSSR_14_0463	B2	55.2	55.2	SSR
BARCSOYSSR_14_0485	B2	56.95	56.95	SSR
BARCSOYSSR_14_0646	B2	65.55	65.55	SSR
BARCSOYSSR_14_0663	B2	66.23	66.23	SSR
BARCSOYSSR_14_0682	B2	68.98	68.98	SSR
BARCSOYSSR_14_0919	B2	68.63	68.63	SSR
BARCSOYSSR_14_0920	B2	67.73	67.73	SSR
BARCSOYSSR_14_1033	B2	75.34	75.34	SSR
BARCSOYSSR_14_1036	B2	72.91	72.91	SSR
BARCSOYSSR_14_1056	B2	72.45	72.45	SSR
BARCSOYSSR_14_1088	B2	70.55	70.55	SSR
BARCSOYSSR_14_1110	B2	73.2	73.2	SSR
BARCSOYSSR_14_1160	B2	72.12	72.12	SSR
BARCSOYSSR_14_1169	B2	72.08	72.08	SSR
BARCSOYSSR_14_1302	B2	89.3	89.3	SSR
BARCSOYSSR_14_1316	B2	87.58	87.58	SSR
BARCSOYSSR_14_1341	B2	90.3	90.3	SSR
BARCSOYSSR_14_1364	B2	93.48	93.48	SSR
BARCSOYSSR_14_1375	B2	99.1	99.1	SSR
BARCSOYSSR_14_1377	B2	100.09	100.09	SSR
BARCSOYSSR_14_1382	B2	100.55	100.55	SSR
BARCSOYSSR_14_1421	B2	97.91	97.91	SSR
BARCSOYSSR_14_1516	B2	113.61	113.61	SSR
BARCSOYSSR_15_0003	E	3.72	3.72	SSR
BARCSOYSSR_15_0034	E	3.3	3.3	SSR
BARCSOYSSR_15_0118	E	12.92	12.92	SSR
BARCSOYSSR_15_0189	E	19.29	19.29	SSR
BARCSOYSSR_15_0195	E	20.79	20.79	SSR
BARCSOYSSR_15_0198	E	19.7	19.7	SSR
BARCSOYSSR_15_0229	E	21.76	21.76	SSR
BARCSOYSSR_15_0235	E	32.27	32.27	SSR
BARCSOYSSR_15_0306	E	32.09	32.09	SSR
BARCSOYSSR_15_0487	E	47.5	47.5	SSR
BARCSOYSSR_15_0525	E	15.86	15.86	SSR
BARCSOYSSR_15_0645	E	34.2	34.2	SSR
BARCSOYSSR_15_0692	E	39.77	39.77	SSR
BARCSOYSSR_15_0753	E	39.16	39.16	SSR
BARCSOYSSR_15_0754	E	41.24	41.24	SSR
BARCSOYSSR_15_0765	E	43.29	43.29	SSR
BARCSOYSSR_15_0766	E	43.36	43.36	SSR
BARCSOYSSR_15_0800	E	43.04	43.04	SSR
BARCSOYSSR_15_0801	E	43.13	43.13	SSR
BARCSOYSSR_15_0946	E	42.74	42.74	SSR
BARCSOYSSR_15_0948	E	78.49	78.49	SSR
BARCSOYSSR_15_0953	E	41.68	41.68	SSR
BARCSOYSSR_15_0997	E	46.65	46.65	SSR
BARCSOYSSR_15_1031	E	44.75	44.75	SSR
BARCSOYSSR_15_1040	E	45.4	45.4	SSR
BARCSOYSSR_15_1077	E	45.63	45.63	SSR
BARCSOYSSR_15_1082	E	45.15	45.15	SSR
BARCSOYSSR_15_1125	E	44.98	44.98	SSR
BARCSOYSSR_15_1159	E	45.09	45.09	SSR
BARCSOYSSR_15_1171	E	45.77	45.77	SSR
BARCSOYSSR_15_1237	E	45.88	45.88	SSR
BARCSOYSSR_15_1450	E	56.27	56.27	SSR
BARCSOYSSR_15_1453	E	56.64	56.64	SSR
BARCSOYSSR_15_1455	E	56.7	56.7	SSR
BARCSOYSSR_15_1563	E	65.66	65.66	SSR
BARCSOYSSR_15_1565	E	69.23	69.23	SSR
BARCSOYSSR_15_1568	E	64.18	64.18	SSR
BARCSOYSSR_15_1582	E	70.23	70.23	SSR
BARCSOYSSR_16_0062	J	11.74	11.74	SSR
BARCSOYSSR_16_0083	J	15.95	15.95	SSR
BARCSOYSSR_16_0090	J	15.69	15.69	SSR
BARCSOYSSR_16_0163	J	25.51	25.51	SSR
BARCSOYSSR_16_0171	J	24.09	24.09	SSR
BARCSOYSSR_16_0179	J	23.91	23.91	SSR
BARCSOYSSR_16_0377	J	33.88	33.88	SSR
BARCSOYSSR_16_0424	J	37.4	37.4	SSR
BARCSOYSSR_16_0464	J	38.09	38.09	SSR
BARCSOYSSR_16_0524	J	39.18	39.18	SSR
BARCSOYSSR_16_0537	J	32.09	32.09	SSR
BARCSOYSSR_16_0574	J	40.5	40.5	SSR
BARCSOYSSR_16_0622	J	41.11	41.11	SSR
BARCSOYSSR_16_0632	J	38.7	38.7	SSR
BARCSOYSSR_16_0641	J	40.34	40.34	SSR
BARCSOYSSR_16_0703	J	41.9	41.9	SSR
BARCSOYSSR_16_0720	J	38.18	38.18	SSR
BARCSOYSSR_16_0752	J	42.5	42.5	SSR
BARCSOYSSR_16_0794	J	43	43	SSR
BARCSOYSSR_16_0803	J	42.2	42.2	SSR
BARCSOYSSR_16_0804	J	46.09	46.09	SSR
BARCSOYSSR_16_0812	J	44.68	44.68	SSR
BARCSOYSSR_16_0840	J	42.25	42.25	SSR
BARCSOYSSR_16_0885	J	44.08	44.08	SSR
BARCSOYSSR_16_0968	J	52.84	52.84	SSR
BARCSOYSSR_16_1073	J	62.88	62.88	SSR
BARCSOYSSR_16_1151	J	65.04	65.04	SSR
BARCSOYSSR_16_1164	J	69.3	69.3	SSR
BARCSOYSSR_16_1165	J	67.79	67.79	SSR
BARCSOYSSR_16_1234	J	78.57	78.57	SSR
BARCSOYSSR_16_1312	J	89.48	89.48	SSR
BARCSOYSSR_16_1314	J	90.33	90.33	SSR
BARCSOYSSR_16_1317	J	89.61	89.61	SSR
BARCSOYSSR_17_0071	D2	6.42	6.42	SSR
BARCSOYSSR_17_0105	D2	5.83	5.83	SSR
BARCSOYSSR_17_0118	D2	10.23	10.23	SSR
BARCSOYSSR_17_0152	D2	11.77	11.77	SSR
BARCSOYSSR_17_0219	D2	16.76	16.76	SSR
BARCSOYSSR_17_0320	D2	28.79	28.79	SSR
BARCSOYSSR_17_0337	D2	24.52	24.52	SSR
BARCSOYSSR_17_0343	D2	26.04	26.04	SSR
BARCSOYSSR_17_0370	D2	30.79	30.79	SSR
BARCSOYSSR_17_0384	D2	29.55	29.55	SSR
BARCSOYSSR_17_0444	D2	39.34	39.34	SSR
BARCSOYSSR_17_0510	D2	47.73	47.73	SSR
BARCSOYSSR_17_0554	D2	57.07	57.07	SSR
BARCSOYSSR_17_0561	D2	53.84	53.84	SSR
BARCSOYSSR_17_0564	D2	57.5	57.5	SSR
BARCSOYSSR_17_0669	D2	69.3	69.3	SSR
BARCSOYSSR_17_0690	D2	64.6	64.6	SSR
BARCSOYSSR_17_0711	D2	66.26	66.26	SSR
BARCSOYSSR_17_0727	D2	67.91	67.91	SSR
BARCSOYSSR_17_0731	D2	75.29	75.29	SSR
BARCSOYSSR_17_0754	D2	76.69	76.69	SSR
BARCSOYSSR_17_0807	D2	79.23	79.23	SSR
BARCSOYSSR_17_0823	D2	80.19	80.19	SSR
BARCSOYSSR_17_0844	D2	79.43	79.43	SSR
BARCSOYSSR_17_0894	D2	85.63	85.63	SSR
BARCSOYSSR_17_0919	D2	84.62	84.62	SSR
BARCSOYSSR_17_0930	D2	85.69	85.69	SSR
BARCSOYSSR_17_0956	D2	86.33	86.33	SSR
BARCSOYSSR_17_0966	D2	84.18	84.18	SSR
BARCSOYSSR_17_0973	D2	87.25	87.25	SSR
BARCSOYSSR_17_0986	D2	86.69	86.69	SSR
BARCSOYSSR_17_0988	D2	87.55	87.55	SSR
BARCSOYSSR_17_0992	D2	87.16	87.16	SSR
BARCSOYSSR_17_1053	D2	87.87	87.87	SSR
BARCSOYSSR_17_1058	D2	89.75	89.75	SSR
BARCSOYSSR_17_1080	D2	85.15	85.15	SSR
BARCSOYSSR_17_1096	D2	89.19	89.19	SSR
BARCSOYSSR_17_1115	D2	87.38	87.38	SSR
BARCSOYSSR_17_1131	D2	88.01	88.01	SSR
BARCSOYSSR_17_1164	D2	87.66	87.66	SSR
BARCSOYSSR_17_1342	D2	92.12	92.12	SSR
BARCSOYSSR_17_1357	D2	93.7	93.7	SSR
BARCSOYSSR_17_1425	D2	84.17	84.17	SSR
BARCSOYSSR_17_1426	D2	93.7	93.7	SSR
BARCSOYSSR_17_1475	D2	105.44	105.44	SSR
BARCSOYSSR_17_1477	D2	107.48	107.48	SSR
BARCSOYSSR_17_1511	D2	112.84	112.84	SSR
BARCSOYSSR_17_1534	D2	115.69	115.69	SSR
BARCSOYSSR_17_1540	D2	113.61	113.61	SSR
BARCSOYSSR_17_1545	D2	114.97	114.97	SSR
BARCSOYSSR_17_1552	D2	118.66	118.66	SSR
BARCSOYSSR_17_1604	D2	124.3	124.3	SSR
BARCSOYSSR_17_1635	D2	128.94	128.94	SSR
BARCSOYSSR_17_1639	D2	128.72	128.72	SSR
BARCSOYSSR_18_0064	G	1.84	1.84	SSR
BARCSOYSSR_18_0093	G	3.7	3.7	SSR
BARCSOYSSR_18_0102	G	4.53	4.53	SSR
BARCSOYSSR_18_0141	G	8.23	8.23	SSR
BARCSOYSSR_18_0142	G	9.18	9.18	SSR
BARCSOYSSR_18_0143	G	10.06	10.06	SSR
BARCSOYSSR_18_0158	G	10.92	10.92	SSR
BARCSOYSSR_18_0177	G	12.74	12.74	SSR
BARCSOYSSR_18_0181	G	12.54	12.54	SSR
BARCSOYSSR_18_0195	G	15.63	15.63	SSR
BARCSOYSSR_18_0250	G	18.25	18.25	SSR
BARCSOYSSR_18_0257	G	21.88	21.88	SSR
BARCSOYSSR_18_0295	G	27.48	27.48	SSR
BARCSOYSSR_18_0305	G	29.03	29.03	SSR
BARCSOYSSR_18_0306	G	29.15	29.15	SSR
BARCSOYSSR_18_0316	G	31.33	31.33	SSR
BARCSOYSSR_18_0324	G	33.25	33.25	SSR
BARCSOYSSR_18_0348	G	34.86	34.86	SSR
BARCSOYSSR_18_0523	G	43.77	43.77	SSR
BARCSOYSSR_18_0550	G	43.09	43.09	SSR
BARCSOYSSR_18_0562	G	45.49	45.49	SSR
BARCSOYSSR_18_0674	G	48.54	48.54	SSR
BARCSOYSSR_18_0686	G	47.27	47.27	SSR
BARCSOYSSR_18_0736	G	48.91	48.91	SSR
BARCSOYSSR_18_0831	G	49.91	49.91	SSR
BARCSOYSSR_18_0845	G	53.41	53.41	SSR
BARCSOYSSR_18_0849	G	52.93	52.93	SSR
BARCSOYSSR_18_0919	G	51.68	51.68	SSR
BARCSOYSSR_18_0947	G	58	58	SSR
BARCSOYSSR_18_1129	G	55.99	55.99	SSR
BARCSOYSSR_18_1146	G	57.07	57.07	SSR
BARCSOYSSR_18_1171	G	57.32	57.32	SSR
BARCSOYSSR_18_1183	G	56.18	56.18	SSR
BARCSOYSSR_18_1210	G	59.83	59.83	SSR
BARCSOYSSR_18_1273	G	63.27	63.27	SSR
BARCSOYSSR_18_1338	G	61.63	61.63	SSR
BARCSOYSSR_18_1348	G	60.36	60.36	SSR
BARCSOYSSR_18_1349	G	62.08	62.08	SSR
BARCSOYSSR_18_1364	G	62.16	62.16	SSR
BARCSOYSSR_18_1366	G	63	63	SSR
BARCSOYSSR_18_1385	G	61.41	61.41	SSR
BARCSOYSSR_18_1418	G	66.55	66.55	SSR
